application,version,instrumentor,trial,function,nodes,arcs,maxIterations,initialMaxDepth,maxDepthIncrement,finalMaxDepth,initialTrianglesSize,triangleTime,numProbe,objectiveValue,totalIpTime,totalTriangleTime
replace,1,cc-lemon,1,patsize,6,11,200,1,1,7,0,0,0,0,0,0
replace,1,cc-lemon,1,amatch,26,45,200,1,1,7,12,0.004,3,21.8087,0,0.004
replace,1,cc-lemon,1,putsub,15,20,200,1,1,7,7,0,3,263.5,0,0
replace,1,cc-lemon,1,subline,22,31,200,1,1,7,6,0,5,2842.42,0,0
replace,1,cc-lemon,1,change,5,6,200,1,1,7,1,0,1,21.25,0,0.004
replace,1,cc-lemon,1,main,27,39,200,1,1,7,1,0,1,19.9999,0,0
replace,1,cc-lemon,1,Caseerror,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,1,getline,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,1,addstr,3,3,200,1,1,7,1,0,1,0.5,0,0
replace,1,bb-lemon,1,esc,6,9,200,1,1,7,4,0,4,1.02632,0,0
replace,1,bb-lemon,1,dodash,31,49,200,1,1,7,51,0.012,19,61.475,0,0.096
replace,1,bb-lemon,1,getccl,9,12,200,1,1,7,7,0,4,1.375,0,0.004
replace,1,bb-lemon,1,stclose,22,31,200,1,1,7,36,0,8,40.5161,0,0.008
replace,1,bb-lemon,1,in_set_2,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,1,in_pat_set,3,9,200,1,1,7,1,0,1,0.125,0,0
replace,1,bb-lemon,1,makepat,75,124,200,1,1,7,137,0.096,51,71.1809,0,2.46
replace,1,bb-lemon,1,getpat,1,0,200,1,1,7,0,0,0,0,0,0
replace,1,bb-lemon,1,makesub,16,25,200,1,1,7,15,0,10,49.5625,0,0.004
replace,1,bb-lemon,1,getsub,15,24,200,1,1,7,13,0,10,66.0833,0,0
replace,1,bb-lemon,1,locate,5,6,200,1,1,7,1,0,1,0.666667,0,0
replace,1,bb-lemon,1,omatch,19,35,200,1,1,7,11,0.004,9,0.990396,0,0.004
